1-2k,,2-3k,,3-4k,,4-5k,,5-6k,,6-7.5k,,7.5-10k,
Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),
545,27.50577,545,14.53052,545,8.64178,545,5.91115,545,5.15975,545,4.75684,545,4.43095
544,27.85554,544,14.77162,544,8.81053,544,6.0165,544,5.26076,544,4.84335,544,4.49793
543,28.19653,543,15.06918,543,8.9897,543,6.14179,543,5.34694,543,4.93302,543,4.59435
542,28.6596,542,15.35149,542,9.18485,542,6.30955,542,5.4845,542,5.05674,542,4.69937
541,29.03916,541,15.67464,541,9.3739,541,6.43389,541,5.59275,541,5.14159,541,4.76039
540,29.41451,540,15.97983,540,9.59651,540,6.57078,540,5.70409,540,5.26056,540,4.88511
539,29.77644,539,16.2664,539,9.79787,539,6.72533,539,5.85119,539,5.37364,539,4.972
538,30.14511,538,16.57283,538,10.02435,538,6.86665,538,5.98216,538,5.46605,538,5.07053
537,30.45878,537,16.90209,537,10.25247,537,7.02994,537,6.11824,537,5.60395,537,5.18136
536,30.86063,536,17.2041,536,10.47121,536,7.19272,536,6.2479,536,5.7479,536,5.29648
535,31.26457,535,17.53415,535,10.74018,535,7.36492,535,6.41607,535,5.8739,535,5.40745
534,31.59317,534,17.89302,534,10.96982,534,7.55487,534,6.56518,534,6.01153,534,5.54527
533,31.93686,533,18.19693,533,11.20737,533,7.73473,533,6.72216,533,6.14421,533,5.66017
532,32.3261,532,18.51112,532,11.47293,532,7.90938,532,6.88772,532,6.29609,532,5.81844
531,32.56833,531,18.82011,531,11.69196,531,8.08225,531,7.03575,531,6.43237,531,5.91975
530,32.86347,530,19.12435,530,11.93608,530,8.26198,530,7.19418,530,6.57682,530,6.05949
529,33.12078,529,19.43825,529,12.18435,529,8.46625,529,7.38325,529,6.73237,529,6.20815
